mental,random,story,math
0.589401966,0.619328674,0.651071282,0.584938276
0.624329218,0.555092367,0.516303493,0.516919788
0.619608847,0.674340682,0.703878399,0.583632
0.22877639,0.329331841,0.242649755,0.422311999
0.570055198,0.539826846,0.684340999,0.702027329
0.550105849,0.499912584,0.546703264,0.615766939
0.597567017,0.476111026,0.547876024,0.516432704
0.485729458,0.676911748,0.613716139,0.612724787
0.374573612,0.431987575,0.55311681,0.527834657
0.419240191,0.496397706,0.600117543,0.531646344
0.563389607,0.585797806,0.480863424,0.624611796
0.685372152,0.680193104,0.702083018,0.646202292
0.604848925,0.589292416,0.591367109,0.562061021
0.445022985,0.418066224,0.321291706,0.132881269
0.422907145,0.517329488,0.494899083,0.508708346
0.654308012,0.708424809,0.663371968,0.630635883
0.44613259,0.372968581,0.466968806,0.398738966
0.45623751,0.446191223,0.596790821,0.546378011
0.494134602,0.472286354,0.713721657,0.660930676
0.380248067,0.496232997,0.547442566,0.532605775
0.611258899,0.561346629,0.587742933,0.595649685
0.706702578,0.739248625,0.619883877,0.661553593
0.419664691,0.395476459,0.551402919,0.579241876
0.629195547,0.547056716,0.472801844,0.515486145
0.55504302,0.514908651,0.491926393,0.475188878
0.404794113,0.417999347,0.617752031,0.504847216
0.552666245,0.498356809,0.39926152,0.404562975
0.507706804,0.468196517,0.592404291,0.541763934
0.351603675,0.40821213,0.284565226,0.287437787
0.18559957,0.261154541,0.534445129,0.365395724
0.734669217,0.765052093,0.728571155,0.689333937
0.353460982,0.397732056,0.410591576,0.402618571
0.345325457,0.450675467,0.404834355,0.440857854
0.67292074,0.667047032,0.54977954,0.617974552
0.505216908,0.490773034,0.473620828,0.487042131
0.418009898,0.455372066,0.429395249,0.486131873
0.612513801,0.595326669,0.408439295,0.361826275
0.657382379,0.610230501,0.583867108,0.5472036
0.681512616,0.710608377,0.638694614,0.629485046
0.62659298,0.67357088,0.5808732,0.542903434
0.532678819,0.63802674,0.646458734,0.648196105
0.672850762,0.675917876,0.780962642,0.72530048
0.553464729,0.49573293,0.437760315,0.41695902
0.563151927,0.647130212,0.54221466,0.676241504
0.502187516,0.523913669,0.541467412,0.559561098
0.589245182,0.628669923,0.702272206,0.677099947
0.523653527,0.459352224,0.555362353,0.476752963
0.612762733,0.514575757,0.649695965,0.465390812
0.611617115,0.62747004,0.714319237,0.663614502
0.558878682,0.614566602,0.580656832,0.633241434
0.368449614,0.202659457,0.474960293,0.41772486
0.600854659,0.582337444,0.667753472,0.598288339
0.626570517,0.561171585,0.587749799,0.581116552
0.336669474,0.426855017,0.670859556,0.542583575
0.362798588,0.420998503,0.530543057,0.533674462
0.266551425,0.394318623,0.372092346,0.427099185
0.585736032,0.6063732,0.762120244,0.670490895
0.592360202,0.414434837,0.547920192,0.619688074
0.364403933,0.364701217,0.498332643,0.466353146
0.650707302,0.671481277,0.695752604,0.684677962
0.557359331,0.500268875,0.541110667,0.47827015
0.461944125,0.429101167,0.39619264,0.314337803
0.606620709,0.631216492,0.675504228,0.692243117
0.506034009,0.459711656,0.572283718,0.595800083
0.720843156,0.711857644,0.577088018,0.696251729
0.633903563,0.546166399,0.681079648,0.651687582
0.442212203,0.332844538,0.444142794,0.201253897
0.469674818,0.395932074,0.611890414,0.494393831
0.589168012,0.368227753,0.483279831,0.390360391
0.555108373,0.591890519,0.537749557,0.430822239
0.742570166,0.781544091,0.444781233,0.473300214
0.673239498,0.698421535,0.759345421,0.72419105
0.588157232,0.547294555,0.670325828,0.606039845
0.557263043,0.515549125,0.61399698,0.5957521
0.484423342,0.458705814,0.422824688,0.438207739
0.62165526,0.614354739,0.531051501,0.625992063
0.658057428,0.664878701,0.541718367,0.554911662
0.404501965,0.533193362,0.388327329,0.457886293
0.44282363,0.439161402,0.478351085,0.38589781
0.295756582,0.388660535,0.369085643,0.460712082
0.598466179,0.664820925,0.727157208,0.689044753
0.408913288,0.476305417,0.395145427,0.443456673
0.457536222,0.446478671,0.274154768,0.432299891
0.43446523,0.292402997,0.556280327,0.419919924
0.586257076,0.643256075,0.541858091,0.677720668
0.402875724,0.351830773,0.412270155,0.319361804
0.267012535,0.500658222,0.418278827,0.308377985
0.386726243,0.321341588,0.522511017,0.590468129
0.563647055,0.400243368,0.420774223,0.376514653
0.591592411,0.640234381,0.72996005,0.703063959
0.667032041,0.533259767,0.51119189,0.654566127
0.682668329,0.611676775,0.583991778,0.653467035
0.264203056,0.397967582,0.334089923,0.411055315
0.625442246,0.607933917,0.687018818,0.617866294
